Unnamed: 0,cut,color,clarity,carat_weight,cut_quality,lab,symmetry,polish,eye_clean,culet_size,culet_condition,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,fluor_color,fluor_intensity,fancy_color_dominant_color,fancy_color_secondary_color,fancy_color_overtone,fancy_color_intensity,total_sales_price
167889,Oval,E,I1,1,unknown,GIA,Very Good,Excellent,unknown,N,unknown,63.5,56,7.64,5.67,3.6,STK,VTK,unknown,Faint,unknown,unknown,unknown,unknown,5376
53087,Round,E,SI1,0.32,Excellent,GIA,Excellent,Excellent,Yes,unknown,unknown,61.9,59,4.37,4.4,2.71,STK,M,unknown,None,unknown,unknown,unknown,unknown,940
168079,Emerald,I,SI1,1,unknown,GIA,Very Good,Excellent,unknown,unknown,unknown,59.4,61,8.02,4.59,2.73,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,5400
194940,Round,D,VS2,1.03,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,59,59,6.59,6.63,3.9,TN,M,unknown,None,unknown,unknown,unknown,unknown,12893
58944,Round,I,SI2,0.4,Excellent,GIA,Excellent,Very Good,Yes,N,unknown,62.1,57,4.72,4.74,2.94,M,STK,unknown,None,unknown,unknown,unknown,unknown,974
171028,Princess,E,SI2,1.02,unknown,GIA,Very Good,Excellent,unknown,unknown,unknown,72.5,71,5.47,5.47,3.96,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,6056
35317,Round,D,SI1,0.3,Very Good,GIA,Very Good,Very Good,Yes,unknown,unknown,60.2,63,4.27,4.3,2.58,TK,TN,unknown,None,unknown,unknown,unknown,unknown,832
114020,Round,H,VS2,0.5,Very Good,IGI,Very Good,Excellent,unknown,unknown,unknown,0,59,4.88,4.96,3.14,unknown,unknown,unknown,Strong,unknown,unknown,unknown,unknown,2184
20222,Round,E,SI1,0.3,Excellent,IGI,Very Good,Excellent,unknown,N,Pointed,62.4,55.5,4.27,4.29,2.67,M,STK,unknown,None,unknown,unknown,unknown,unknown,732
39535,Round,I,VVS1,0.3,Very Good,GIA,Excellent,Excellent,Yes,N,unknown,61.6,60,4.26,4.3,2.64,M,STK,unknown,None,unknown,unknown,unknown,unknown,880
30131,Round,K,IF,0.36,Excellent,GIA,Very Good,Excellent,unknown,unknown,unknown,61.8,58,4.54,4.59,2.82,M,STK,unknown,None,unknown,unknown,unknown,unknown,788
202663,Emerald,E,VS2,1.54,unknown,GIA,Very Good,Excellent,unknown,N,unknown,66.7,63,7.57,5.68,3.79,M,STK,unknown,None,unknown,unknown,unknown,unknown,15920
37587,Oval,D,VS2,0.28,unknown,GIA,Very Good,Very Good,unknown,unknown,unknown,64.1,56,5.04,3.71,2.38,unknown,unknown,unknown,Faint,unknown,unknown,unknown,unknown,860
20629,Marquise,G,I1,0.5,unknown,GIA,Very Good,Very Good,Yes,N,unknown,58.1,57,7.39,4.21,2.44,XTK,XTK,unknown,Strong,unknown,unknown,unknown,unknown,736
178526,Round,H,SI2,1.08,Excellent,GIA,Excellent,Excellent,Yes,N,Pointed,62.6,55,6.54,6.56,4.1,M,STK,unknown,None,unknown,unknown,unknown,unknown,7610
181315,Round,J,VS2,1.2,Excellent,GIA,Excellent,Excellent,Yes,unknown,unknown,63.2,56,6.73,6.79,4.27,TN,STK,unknown,None,unknown,unknown,unknown,unknown,7992
98963,Radiant,J,VS1,0.57,unknown,GIA,Excellent,Excellent,unknown,unknown,unknown,69.7,65,5.25,4.07,2.84,unknown,unknown,unknown,Faint,unknown,unknown,unknown,unknown,1626
143765,Round,E,VS1,0.5,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,61.6,56,5.11,5.14,3.16,TN,STK,unknown,None,unknown,unknown,unknown,unknown,3464
160469,Oval,E,I1,1,unknown,GIA,Very Good,Very Good,unknown,N,unknown,64,64,7.55,5.58,3.57,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,4757
69869,Round,E,VVS1,0.3,Very Good,GIA,Very Good,Very Good,Yes,N,unknown,64.4,55,4.22,4.25,2.73,M,STK,unknown,None,unknown,unknown,unknown,unknown,1050
54586,Round,F,VS1,0.3,Very Good,GIA,Very Good,Excellent,unknown,unknown,unknown,64.3,57,4.19,4.22,2.71,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,954
107578,Round,D,SI2,0.54,Excellent,GIA,Excellent,Very Good,unknown,unknown,unknown,62.7,56,5.18,5.2,3.26,unknown,unknown,unknown,Strong,unknown,unknown,unknown,unknown,1918
35908,Radiant,G,SI2,0.4,unknown,GIA,Excellent,Very Good,unknown,unknown,unknown,70.1,64,4.87,3.83,2.69,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,844
53625,Oval,D,VVS1,0.26,unknown,GIA,Very Good,Very Good,unknown,unknown,unknown,63.5,58,5.2,3.52,2.23,unknown,unknown,unknown,Medium,unknown,unknown,unknown,unknown,944
46742,Round,F,VVS2,0.24,Excellent,GIA,Excellent,Excellent,Yes,N,unknown,60.5,58,4.01,4.03,2.43,M,STK,unknown,None,unknown,unknown,unknown,unknown,902
74863,Round,E,VVS2,0.28,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.8,59,4.13,4.17,2.61,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,1128
13931,Round,E,SI1,0.23,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,61.3,59,3.97,3.99,2.44,TN,M,unknown,None,unknown,unknown,unknown,unknown,672
194195,Emerald,K,VS1,1.7,unknown,GIA,Excellent,Excellent,unknown,N,unknown,70.7,71,7.46,5.69,4.02,STK,VTK,unknown,Faint,unknown,unknown,unknown,unknown,12399
9654,Round,E,SI2,0.3,Very Good,GIA,Excellent,Very Good,unknown,unknown,unknown,64.4,58,4.16,4.2,2.69,unknown,unknown,unknown,Strong,unknown,unknown,unknown,unknown,628
26856,Round,H,VS2,0.31,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.2,57,4.33,4.36,2.7,unknown,unknown,Blue,Strong,unknown,unknown,unknown,unknown,770
154135,Round,H,VVS1,0.6,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,61.7,57,5.42,5.44,3.35,M,STK,unknown,None,unknown,unknown,unknown,unknown,3986
193425,Pear,K,SI2,2.01,unknown,GIA,Very Good,Excellent,unknown,N,unknown,61.8,61,10.13,7.37,4.56,M,XTK,unknown,Faint,unknown,unknown,unknown,unknown,11603
83919,Round,D,VS1,0.3,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,62.3,59,4.24,4.28,2.65,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,1234
146098,Round,J,VS1,0.8,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,62.1,59,5.91,5.94,3.68,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,3605
114666,Pear,D,SI1,0.5,unknown,GIA,Very Good,Excellent,unknown,N,unknown,61.8,59,6.95,4.51,2.79,M,TK,unknown,None,unknown,unknown,unknown,unknown,2214
179405,Emerald,F,VS1,1,unknown,GIA,Excellent,Excellent,Yes,N,unknown,69.2,68,6.2,4.77,3.3,VTK,VTK,unknown,None,unknown,unknown,unknown,unknown,7368
21081,Round,G,VVS2,0.23,Excellent,GIA,Excellent,Excellent,unknown,unknown,unknown,61.7,60,3.94,3.97,2.44,unknown,unknown,unknown,None,unknown,unknown,unknown,unknown,724
176705,Emerald,G,I1,1.52,unknown,GIA,Very Good,Excellent,unknown,N,unknown,72,64,7.61,5.37,3.86,M,STK,unknown,None,unknown,unknown,unknown,unknown,6726
69996,Round,E,VVS2,0.23,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,60.5,60,3.94,3.96,2.39,M,STK,unknown,Faint,unknown,unknown,unknown,unknown,1050
129452,Round,I,VS1,0.57,Excellent,GIA,Excellent,Excellent,unknown,N,unknown,63,56,5.25,5.28,3.32,unknown,unknown,unknown,Strong,unknown,unknown,unknown,unknown,2842
